Brand,Model,Year,Mileage,Condition,Price,Number of Cylinders,Engine Capacity,Ratings,Color
Toyota,Highlander,2006,97655,Foreign Used, 6610000,6,2500.0, 4.50,gold
Toyota,Camry,2009,99419,Foreign Used, 4845000,4,4000.0, 4.30,gold
Toyota,Camry,2005,115608,Foreign Used, 3830000,4,4000.0, 4.30,wine
Toyota,RAV 4,2009,168905,Foreign Used, 7215000,6,3500.0, 4.30,brown
Toyota,Tacoma,2009,159189,Foreign Used, 14015000,6,6000.0, 4.30,Grey
Toyota,Highlander,2013,89523,Foreign Used, 14815000,6,3500.0, 4.00,Blue
Toyota,Corolla,2016,54852,Foreign Used, 7530000,4,2500.0, 4.00,White
Toyota,Camry,2007,185825,Foreign Used, 4630000,4,, 4.50,Green
Toyota,Corolla,2015,89373,Foreign Used, 7530000,4,2500.0, 4.00,Grey
Mercedes-Benz,C 300,2016,68085,Foreign Used, 16845000,6,3000.0, 4.20,black
Lexus,GX 460,2014,121336,Foreign Used, 270315008,8,4000.0, 4.00,Grey
Mercedes-Benz,C 300,2016,56802,Foreign Used, 18315000,6,3000.0, 4.40,Blue
Toyota,Camry,2008,115328,Foreign Used, 4265000,6,, 4.00,gold
Toyota,Camry,2011,185000,Foreign Used, 4765000,4,1000.0, 4.20,black
Toyota,Camry,2010,96000,Foreign Used, 5530000,4,2000.0, 4.40,black
Lexus,RX 350,2007,105484,Foreign Used, 7740000,6,, 4.40,Blue
Toyota,Camry,2009,96000,Foreign Used, 4580000,4,2000.0, 4.00,Blue
Toyota,Camry,2012,85106,Foreign Used, 7015000,4,1500.0, 4.40,Grey
Pontiac,Vibe,2009,83664,Foreign Used, 5345000,4,1500.0, 4.30,White
Toyota,Yaris,2012,86899,Foreign Used, 4615000,4,4000.0, 4.30,Blue
Toyota,Corolla,2006,91309,Foreign Used, 4115000,4,1500.0, 4.00,gold
Toyota,Corolla,2006,110252,Foreign Used, 4115000,4,1500.0, 4.00,Grey
Toyota,Sienna,2008,182642,Foreign Used, 5115000,6,1000.0, 4.00,Green
Mercedes-Benz,ML 350,2013,159843,Foreign Used, 15015000,6,, 4.00,black
Toyota,Camry,2004,210052,Foreign Used, 3815000,4,4000.0, 4.30,Green
Toyota,Camry,2012,191563,Foreign Used, 6395000,6,6000.0, 4.20,Grey
Kia,Sorento 3.5l EX,2016,96000,Locally Used, 6830000,6,3000.0, 3.30,brown
Toyota,Highlander,2014,56000,Locally Used, 10015000,6,3000.0, 3.50,Silver
Toyota,Highlander,2009,96552,Foreign Used, 8615000,6,2500.0, 4.50,Silver
Toyota,Highlander,2008,97532,Foreign Used, 7930000,6,2500.0, 4.50,Grey
Toyota,Hilux,2018,8381,Foreign Used, 33015000,6,4800.0, 4.40,White
Toyota,Corolla,2003,120000,Foreign Used, 3530000,4,4000.0, 4.40,Silver
Toyota,Camry,2009,64761,Foreign Used, 4715000,4,, 4.40,gold
Toyota,Corolla,2015,56000,Foreign Used, 7230000,4,1000.0, 4.00,black
Lexus,RX 350,2007,234702,Foreign Used, 7015000,6,6000.0, 4.10,Blue
Toyota,Hilux,2010,86000,Foreign Used, 10315000,4,2000.0, 4.40,White
Toyota,Camry,2009,96000,Foreign Used, 4830000,4,2000.0, 4.00,Blue
