,Brand,Model,Year,Mileage,Condition,Price,Engine Type,Engine Capacity,Exterior Color,Ratings
481,Volkswagen,Volkswagen Golf,2006,"109,523",Locally used,"₦ 3,030,000",6-Cylinder(V6),Approx. N/A,Silver, (3.90)
482,Toyota,Toyota Fortuner,2022,33,New,"₦ 32,145,000",4-Cylinder(I4),Approx. N/A,Black,
483,Lexus,Lexus ES 350,2010,"110,388",Foreign Used,"₦ 6,815,000",6-Cylinder(V6),Approx. N/A,Dark Grey, (4.00)
484,Toyota,Toyota RAV 4,2012,"112,589",Foreign Used,"₦ 7,515,000",4-Cylinder(I4),Approx. 4,Black, (4.30)
485,Lexus,Lexus RX 350,2019,"27,179",Foreign Used,"₦ 26,865,000",6-Cylinder(V6),Approx. 3,Grey, (4.50)
486,Mercedes-Benz,Mercedes-Benz GLK 350,2012,"83,035",Foreign Used,"₦ 9,545,000",6-Cylinder(I6),Approx. 2500,Black, (4.00)
487,Kia,Kia Sorento 3.5l EX,2022,0,New,"₦ 32,415,000",6-Cylinder(I6),Approx. N/A,White And Orange,
488,Kia,Kia Sorento,2022,0,New,"₦ 32,430,000",6-Cylinder(I6),Approx. N/A,White,
489,Kia,Kia Sportage,2022,0,New,"₦ 27,105,000",4-Cylinder(I4),Approx. N/A,Black,
490,Kia,Kia Seltos,2022,0,New,"₦ 20,085,000",4-Cylinder(I4),Approx. N/A,Red,
491,Kia,Kia Sonet,2022,0,New,"₦ 18,015,000",4-Cylinder(I4),Approx. N/A,Red,
492,Kia,Kia Quoris K900 GLS,2022,0,New,"₦ 46,815,000",6-Cylinder(I6),Approx. N/A,Black,
493,Kia,Kia K5,2022,0,New,"₦ 25,215,000",4-Cylinder(I4),Approx. N/A,Blue,
494,Kia,Kia Rio,2022,0,New,"₦ 14,415,000",4-Cylinder(I4),Approx. N/A,Blue,
495,Kia,Kia Cerato,2022,0,New,"₦ 19,815,000",4-Cylinder(I4),Approx. N/A,Black,
496,Land,Land Rover range rover Hse,2018,"44,547",Foreign Used,"₦ 64,515,000",6-Cylinder(V6),Approx. 6,Black, (4.50)
497,Ford,Ford Edge TIT. 3.5L,2016,"113,023",Foreign Used,"₦ 10,330,000",6-Cylinder(V6),Approx. N/A,White, (4.00)
498,Mercedes-Benz,Mercedes-Benz GLK 350,2013,"126,925",Foreign Used,"₦ 10,815,000",6-Cylinder(I6),Approx. 3300,White, (4.00)
499,Toyota,Toyota Highlander,2015,"91,463",Foreign Used,"₦ 16,515,000",6-Cylinder(V6),Approx. N/A,Brown, (4.50)
500,Lexus,Lexus ES 350,2010,"174,606",Foreign Used,"₦ 6,530,000",6-Cylinder(V6),Approx. N/A,Dark Grey, (4.00)
501,Foton,Foton View C2 2.2L P Minibus,2020,25,New,"₦ 16,015,000",4-Cylinder(I4),Approx. N/A,White,
502,Foton,Foton View CS2 2.7L Petrol Minibus,2019,25,New,"₦ 22,765,000",4-Cylinder(I4),Approx. N/A,White,
503,Jeep,Jeep Grand Cherokee Luxury,2019,12,New,"₦ 36,015,000",4-Cylinder(I4),Approx. N/A,Brown,
504,Toyota,Toyota Camry,2005,"98,000",Locally used,"₦ 3,330,000",4-Cylinder(I4),Approx. 2,Gold, (3.90)
505,Toyota,Toyota Highlander,2006,"161,832",Foreign Used,"₦ 6,315,000",6-Cylinder(V6),Approx. 2,Black, (4.00)
506,Mercedes-Benz,Mercedes-Benz E 350,2014,"107,895",Foreign Used,"₦ 10,830,000",6-Cylinder(V6),Approx. 60,Black, (4.50)
